x,y
1609891200000.00,34046.67
1609977600000.00,36860.41
1610064000000.00,39486.04
1610150400000.00,40670.25
1610236800000.00,40240.72
1610323200000.00,38240.09
1610409600000.00,35544.94
1610496000000.00,34011.82
1610582400000.00,37393.13
1610668800000.00,39158.47
1610755200000.00,36828.52
1610841600000.00,36065.2
1610928000000.00,35793.01
1611014400000.00,36632.35
1611100800000.00,36020.13
1611187200000.00,35538.98
1611273600000.00,30797.88
1611360000000.00,33002.38
1611446400000.00,32099.74
1611532800000.00,32276.84
1611619200000.00,32243.26
1611705600000.00,32541.8
1611792000000.00,30419.17
1611878400000.00,33403.17
1611964800000.00,34314.26
1612051200000.00,34318.1
1612137600000.00,33136.46
1612224000000.00,33522.9
1612310400000.00,35529.66
1612396800000.00,37676.25
1612483200000.00,37002.09
1612569600000.00,38278.61
1612656000000.00,39323.26
1612742400000.00,38928.1
1612828800000.00,46364.3
1612915200000.00,46589.58
1613001600000.00,44878.17
1613088000000.00,48013.38
1613174400000.00,47471.4
1613260800000.00,47185.19
1613347200000.00,48720.37
1613433600000.00,47951.85
1613520000000.00,49160.1
1613606400000.00,52118.23
1613692800000.00,51608.15
1613779200000.00,55916.5
1613865600000.00,56001.2
1613952000000.00,57487.86
1614038400000.00,54123.4
1614124800000.00,48880.43
1614211200000.00,50624.84
1614297600000.00,46800.42
1614384000000.00,46340.31
1614470400000.00,46155.87
1614556800000.00,45113.92
1614643200000.00,49618.43
1614729600000.00,48356.04
1614816000000.00,50477.7
1614902400000.00,48448.91
1614988800000.00,48861.38
1615075200000.00,48881.59
1615161600000.00,51169.7
1615248000000.00,52299.33
1615334400000.00,54881.52
1615420800000.00,55997.23
1615507200000.00,57764
1615593600000.00,57253.28
1615680000000.00,61258.73
1615766400000.00,59133.47
1615852800000.00,55754.72
1615939200000.00,56872.38
1616025600000.00,58913
1616112000000.00,57665.9
1616198400000.00,58075.1
1616284800000.00,58085.8
1616371200000.00,57411.17
1616457600000.00,54204.96
1616544000000.00,54477.46
1616630400000.00,52508.23
1616716800000.00,51415.92
1616803200000.00,55074.47
1616889600000.00,55863.93
1616976000000.00,55783.71
1617062400000.00,57627.67
1617148800000.00,58730.13
1617235200000.00,58735.25
1617321600000.00,58736.92
1617408000000.00,59031.32
1617494400000.00,57076.49
1617580800000.00,58206.55
1617667200000.00,59054.1
1617753600000.00,58020.46
1617840000000.00,55947.27
1617926400000.00,58048.59
1618012800000.00,58102.58
1618099200000.00,59774
1618185600000.00,59964.87
1618272000000.00,59834.74
1618358400000.00,63554.44
1618444800000.00,62969.12
1618531200000.00,63252.63
1618617600000.00,61455.98
1618704000000.00,60087.09
1618790400000.00,56251.48
1618876800000.00,55703.14
1618963200000.00,56507.91
1619049600000.00,53808.8
1619136000000.00,51731.71
1619222400000.00,51153.13
1619308800000.00,50110.53
1619395200000.00,49075.58
1619481600000.00,54056.64
1619568000000.00,55071.46
1619654400000.00,54884.1
1619740800000.00,53584.15
1619827200000.00,57796.62
1619913600000.00,57857.5
1620000000000.00,56610.46
1620086400000.00,57213.33
1620172800000.00,53241.72
1620259200000.00,57473.23
1620345600000.00,56428.16
1620432000000.00,57380.27
1620518400000.00,58928.81
1620604800000.00,58280.73
1620691200000.00,55883.5
1620777600000.00,56750
1620864000000.00,49007.09
1620950400000.00,49702.27
1621036800000.00,49922.52
1621123200000.00,46736.58
1621209600000.00,46441.64
1621296000000.00,43596.24
1621382400000.00,42912.19
1621468800000.00,36964.27
1621555200000.00,40784.32
1621641600000.00,37280.35
1621728000000.00,37528.3
1621814400000.00,34754.54
1621900800000.00,38728.59
1621987200000.00,38410.5
1622073600000.00,39266.04
1622160000000.00,38445.29
1622246400000.00,35689.62
1622332800000.00,34647.67
1622419200000.00,35684.59
1622505600000.00,37310.54
1622592000000.00,36662.64
1622678400000.00,37585.24
1622764800000.00,39188.59
1622851200000.00,36885.51
1622937600000.00,35530.38
1623024000000.00,35816.17
1623110400000.00,33514.87
1623196800000.00,33450.19
1623283200000.00,37338.36
1623369600000.00,36704.57
1623456000000.00,37313.18
1623542400000.00,35494.9
1623628800000.00,39066.82
1623715200000.00,40525.8
1623801600000.00,40188.56
1623888000000.00,38324.87
1623974400000.00,38068.04
1624060800000.00,35729.82
1624147200000.00,35524.17
1624233600000.00,35592.35
1624320000000.00,31686.55
1624406400000.00,32447.59
1624492800000.00,33674.66
1624579200000.00,34639.38
1624665600000.00,31640.58
1624752000000.00,32160.91
1624838400000.00,34644.45
1624924800000.00,34456.67
1625011200000.00,35847.7
1625097600000.00,35047.36
1625184000000.00,33536.88
1625270400000.00,33856.86
1625356800000.00,34688.98
1625443200000.00,35309.3
1625529600000.00,33747.97
1625616000000.00,34211.01
1625702400000.00,33839.04
1625788800000.00,32877.41
1625875200000.00,33818.52
1625961600000.00,33515.57
1626048000000.00,34227.64
1626134400000.00,33158.25
1626220800000.00,32686.56
1626307200000.00,32814.61
1626393600000.00,31738.59
1626480000000.00,31421.25
1626566400000.00,31520.66
1626652800000.00,31783.49
1626739200000.00,30815.94
1626825600000.00,29790.24
1626912000000.00,32118.06
1626998400000.00,32297.89
1627084800000.00,33581.63
1627171200000.00,34279.34
1627257600000.00,35365.2
1627344000000.00,37318.14
1627430400000.00,39405.95
1627516800000.00,40002.53
1627603200000.00,40005.93
1627689600000.00,42214.15
1627776000000.00,41659.06
1627862400000.00,40000.46
1627948800000.00,39193.94
1628035200000.00,38138
1628121600000.00,39750.14
1628208000000.00,40882
1628294400000.00,42825.95
1628380800000.00,44634.13
1628467200000.00,43816.14
1628553600000.00,46333.46
1628640000000.00,45608.37
1628726400000.00,45611.46
1628812800000.00,44417.78
1628899200000.00,47833.98
1628985600000.00,47112.19
1629072000000.00,47056.41
1629158400000.00,45982.55
1629244800000.00,44648.57
1629331200000.00,44777.86
1629417600000.00,46734.65
1629504000000.00,49327.75
1629590400000.00,48932.02
1629676800000.00,49335.68
1629763200000.00,49523.5
1629849600000.00,47744.58
1629936000000.00,48972.09
1630022400000.00,46962.8
1630108800000.00,49056.86
1630195200000.00,48897.65
1630281600000.00,48806.78
1630368000000.00,47074.77
1630454400000.00,47155.87
1630540800000.00,48862.76
1630627200000.00,49329.01
1630713600000.00,50035.33
1630800000000.00,49947.38
1630886400000.00,51769.06
1630972800000.00,52677.4
1631059200000.00,46809.17
1631145600000.00,46078.38
1631232000000.00,46368.69
1631318400000.00,44847.48
1631404800000.00,45144.79
1631491200000.00,46059.12
1631577600000.00,44968.76
1631664000000.00,47072.12
1631750400000.00,48167.85
1631836800000.00,47785.26
1631923200000.00,47263.6
1632009600000.00,48259.45
1632096000000.00,47249.38
1632182400000.00,42901.56
1632268800000.00,40619.27
1632355200000.00,43604.76
1632441600000.00,44888.96
1632528000000.00,42815.56
1632614400000.00,42742.01
1632700800000.00,43182.63
1632787200000.00,42238.2
1632873600000.00,41011.16
1632960000000.00,41522.38
1633046400000.00,43757.81
1633132800000.00,48140.11
1633219200000.00,47727.1
1633305600000.00,48205.72
1633392000000.00,49143.95
1633478400000.00,51505.83
1633564800000.00,55343.76
1633651200000.00,53801.1
1633737600000.00,53867.3
1633824000000.00,55122.59
1633910400000.00,54625.74
1633996800000.00,57452.01
1634083200000.00,56242.94
1634169600000.00,57406.69
1634256000000.00,57397.74
1634342400000.00,61641.17
1634428800000.00,60948.78
1634515200000.00,61546.21
1634601600000.00,61971.59
1634688000000.00,64287.64
1634774400000.00,66063.56
1634860800000.00,62354.86
1634947200000.00,60697.06
1635033600000.00,61277.28
1635120000000.00,60884.18
1635206400000.00,63070.54
1635292800000.00,60345.17
1635379200000.00,58538.49
1635465600000.00,60587.09
1635552000000.00,62249.18
1635638400000.00,61731.29
1635724800000.00,61373.44
1635811200000.00,61029.5
1635897600000.00,63241.11
1635984000000.00,62954.86
1636070400000.00,61441.83
1636156800000.00,61072.32
1636243200000.00,61516.31
1636329600000.00,63293.22
1636416000000.00,67562.17
1636502400000.00,66954.11
1636588800000.00,64976.73
1636675200000.00,64838.81
1636761600000.00,64254.67
1636848000000.00,64420.94
1636934400000.00,65468.75
1637020800000.00,63584.25
1637107200000.00,60172.26
1637193600000.00,60381.35
1637280000000.00,56921.34
1637366400000.00,58133.02
1637452800000.00,59777.98
1637539200000.00,58755.9
1637625600000.00,56301.52
1637712000000.00,57578.22
1637798400000.00,57187.54
1637884800000.00,58935.45
1637971200000.00,53588.21
1638057600000.00,54801.15
1638144000000.00,57292.28
1638230400000.00,57828.45
1638316800000.00,57025.79
1638403200000.00,57229.76
1638489600000.00,56508.48
1638576000000.00,53713.84
1638662400000.00,49253.86
1638748800000.00,49380.43
1638835200000.00,50564.63
1638921600000.00,50645.41
1639008000000.00,50511.12
1639094400000.00,47659.68
1639180800000.00,47137.46
1639267200000.00,49379.67
1639353600000.00,50117.25
1639440000000.00,46757.09
1639526400000.00,48392.79
1639612800000.00,48884.66
1639699200000.00,47658.38
1639785600000.00,46173.51
1639872000000.00,46863.67
1639958400000.00,46689.28
