GPU,eBay Price,QTY Sold
Radeon RX 6750 XT,$505,3
Radeon RX 6800,$513,149
Radeon RX 6800 XT,$615,188
Radeon RX 6900 XT,$697,160
Radeon RX 6950 XT,$843,9
GeForce RTX 3050,$288,116
GeForce RTX 3060,$355,478
GeForce RTX 3060 Ti,$437,1428
GeForce RTX 3070,$488,1459
GeForce RTX 3070 Ti,$593,549
GeForce RTX 3080,$696,1186
GeForce RTX 3080 12GB,$773,101
GeForce RTX 3080 Ti,$901,432
GeForce RTX 3090,"$1,057",828
GeForce RTX 3090 Ti,"$1,452",80
Radeon RX 6400,$143,14
Radeon RX 6500 XT,$153,50
Radeon RX 6600,$232,218
Radeon RX 6600 XT,$274,183
Radeon RX 6650 XT,$345,22
Radeon RX 6700 XT,$378,373
Radeon RX 6750 XT,$456,14
Radeon RX 6800,$486,102
Radeon RX 6800 XT,$563,144
Radeon RX 6900 XT,$685,266
Radeon RX 6950 XT,$914,11
GeForce RTX 3050,$279,78
GeForce RTX 3060,$339,722
GeForce RTX 3060 Ti,$424,1253
GeForce RTX 3070,$463,1284
GeForce RTX 3070 Ti,$547,556
GeForce RTX 3080,$665,1066
GeForce RTX 3080 12GB,$771,128
GeForce RTX 3080 Ti,$836,557
GeForce RTX 3090,$957,772
GeForce RTX 3090 Ti,"$1,247",123
Radeon RX 6400,$137,22
Radeon RX 6500 XT,$140,56
Radeon RX 6600,$204,295
Radeon RX 6600 XT,$238,519
Radeon RX 6650 XT,$300,19
Radeon RX 6700,nan,0
Radeon RX 6700 XT,$337,575
Radeon RX 6750 XT,$430,11
Radeon RX 6800,$419,149
Radeon RX 6800 XT,$518,237
Radeon RX 6900 XT,$645,236
Radeon RX 6950 XT,$795,9
GeForce RTX 3050,$260,78
GeForce RTX 3060,$312,834
GeForce RTX 3060 Ti,$355,1611
GeForce RTX 3070,$409,1856
GeForce RTX 3070 Ti,$493,629
GeForce RTX 3080,$585,1520
GeForce RTX 3080 12GB,$684,158
GeForce RTX 3080 Ti,$754,682
GeForce RTX 3090,$834,1121
GeForce RTX 3090 Ti,"$1,117",202
Radeon RX 6400,$138,23
Radeon RX 6500 XT,$141,52
Radeon RX 6600,$182,337
Radeon RX 6600 XT,$221,642
Radeon RX 6650 XT,$299,17
Radeon RX 6700 10GB,$330,0
Radeon RX 6700 XT,$313,633
Radeon RX 6750 XT,$430,2
Radeon RX 6800,$399,198
Radeon RX 6800 XT,$491,277
Radeon RX 6900 XT,$623,261
Radeon RX 6950 XT,$752,23
GeForce RTX 3050,$241,103
GeForce RTX 3060,$286,1106
GeForce RTX 3060 Ti,$320,1989
GeForce RTX 3070,$376,2278
GeForce RTX 3070 Ti,$459,821
GeForce RTX 3080,$562,2038
GeForce RTX 3080 12GB,$663,163
GeForce RTX 3080 Ti,$755,888
GeForce RTX 3090,$812,1789
GeForce RTX 3090 Ti,"$1,105",269
GeForce RTX 4090,"$2,333",1139
