GPU,eBay Price,QTY Sold,btc_Prices
Radeon RX 6600 XT,495.0,485.0,20181.91
Radeon RX 6700 XT,643.0,570.0,20130.52
Radeon RX 6800,888.0,98.0,20101.27
Radeon RX 6800 XT,996.0,254.0,20047.68
Radeon RX 6900 XT,1256.0,173.0,19956.49
GeForce RTX 3050,416.0,221.0,19952.91
GeForce RTX 3060 12GB,580.0,1135.0,19946.31
GeForce RTX 3060 T,754.0,1935.0,19789.87
GeForce RTX 3070,858.0,1567.0,19632.61
GeForce RTX 3070 T,880.0,1097.0,19454.54
GeForce RTX 3080,1283.0,1355.0,19408.63
GeForce RTX 3080 12GB,1378.0,69.0,19377.66
GeForce RTX 3080 T,1531.0,687.0,19330.74
GeForce RTX 3090,2111.0,983.0,19327.53
GeForce RTX 3090 T,2724.0,11.0,19292.99
Radeon RX 6500 XT,221.0,61.0,19288.97
Radeon RX 6600,365.0,400.0,19276.59
Radeon RX 6600 XT,422.0,410.0,19226.97
Radeon RX 6700 XT,554.0,628.0,19226.7
Radeon RX 6800,755.0,198.0,19171.34
Radeon RX 6800 XT,845.0,326.0,19164.48
Radeon RX 6900 XT,1059.0,186.0,19155.06
GeForce RTX 3050,356.0,98.0,19125.65
GeForce RTX 3060 12GB,480.0,589.0,19063.1
GeForce RTX 3060 T,657.0,1747.0,19049.72
GeForce RTX 3070,777.0,1709.0,18977.51
GeForce RTX 3070 T,779.0,1037.0,18792.52
GeForce RTX 3080,1114.0,1419.0,18699.75
GeForce RTX 3080 12GB,1025.0,90.0,18670.49
GeForce RTX 3080 T,1291.0,665.0,18554.15
GeForce RTX 3090,1770.0,999.0,18540.11
GeForce RTX 3090 T,2300.0,66.0,18507.36
Radeon RX 6400,151.0,4.0,18422.28
Radeon RX 6500 XT,192.0,49.0,18029.36
Radeon RX 6600,290.0,174.0,17820.57
Radeon RX 6600 XT,350.0,375.0,17679.72
Radeon RX 6650 XT,400.0,0.0,17550.23
Radeon RX 6700 XT,477.0,389.0,16310.3
Radeon RX 6750 XT,511.0,4.0,16091.07
Radeon RX 6800,655.0,154.0,15591.39
Radeon RX 6800 XT,767.0,265.0,14839.84
Radeon RX 6900 XT,875.0,172.0,13458.66
Radeon RX 6950 XT,1600.0,2.0,13128.46
GeForce RTX 3050,315.0,139.0,12990.25
GeForce RTX 3060,424.0,804.0,12944.52
GeForce RTX 3060 T,579.0,1558.0,12293.72
GeForce RTX 3070,641.0,1364.0,11969.53
GeForce RTX 3070 T,710.0,850.0,11914.01
GeForce RTX 3080,899.0,1197.0,11873.98
GeForce RTX 3080 12GB,959.0,69.0,11774.38
GeForce RTX 3080 T,1134.0,617.0,11772.94
GeForce RTX 3090,1438.0,754.0,11758.16
GeForce RTX 3090 T,1829.0,44.0,11684.06
Radeon RX 6400,153.0,3.0,11683.44
Radeon RX 6500 XT,171.0,52.0,11653.02
Radeon RX 6600,258.0,221.0,11534.75
Radeon RX 6600 XT,299.0,417.0,11508.2
Radeon RX 6650 XT,368.0,43.0,11481.64
Radeon RX 6700 XT,407.0,421.0,11467.37
Radeon RX 6750 XT,513.0,5.0,11392.43
Radeon RX 6800,551.0,148.0,11366.51
Radeon RX 6800 XT,625.0,228.0,11337.4
Radeon RX 6900 XT,767.0,176.0,11327.57
Radeon RX 6950 XT,1069.0,10.0,11302.67
GeForce RTX 3050,304.0,124.0,11081.43
GeForce RTX 3060,379.0,646.0,11042.4
GeForce RTX 3060 T,461.0,1324.0,10934.94
GeForce RTX 3070,518.0,1472.0,10777.92
GeForce RTX 3070 T,620.0,634.0,10732.43
GeForce RTX 3080,728.0,1134.0,10692.84
GeForce RTX 3080 12GB,835.0,40.0,10670.8
GeForce RTX 3080 T,956.0,499.0,10603.74
GeForce RTX 3090,1098.0,885.0,10532.22
GeForce RTX 3090 T,1538.0,107.0,10367.74
Radeon RX 6400,157.0,7.0,10330.77
Radeon RX 6500 XT,162.0,44.0,10275.38
Radeon RX 6600,235.0,275.0,10187.51
Radeon RX 6600 XT,285.0,423.0,10162.41
Radeon RX 6650 XT,359.0,33.0,10159.62
Radeon RX 6700 XT,393.0,518.0,9989.39
Radeon RX 6750 XT,505.0,3.0,9782.59
Radeon RX 6800,513.0,149.0,9703.93
Radeon RX 6800 XT,615.0,188.0,9670.43
Radeon RX 6900 XT,697.0,160.0,9669.4
Radeon RX 6950 XT,843.0,9.0,9623.75
GeForce RTX 3050,288.0,116.0,9613.11
GeForce RTX 3060,355.0,478.0,9527.39
GeForce RTX 3060 T,437.0,1428.0,9459.97
GeForce RTX 3070,488.0,1459.0,9426.7
GeForce RTX 3070 T,593.0,549.0,9425.98
GeForce RTX 3080,696.0,1186.0,9385.7
GeForce RTX 3080 12GB,773.0,101.0,9378.09
GeForce RTX 3080 T,901.0,432.0,9295.9
GeForce RTX 3090,1057.0,828.0,9279.81
GeForce RTX 3090 T,1452.0,80.0,9276.58
Radeon RX 6400,143.0,14.0,9256.23
Radeon RX 6500 XT,153.0,50.0,9254.52
Radeon RX 6600,232.0,218.0,9236.38
Radeon RX 6600 XT,274.0,183.0,9197.54
Radeon RX 6650 XT,345.0,22.0,9185.35
Radeon RX 6700 XT,378.0,373.0,9174.71
Radeon RX 6750 XT,456.0,14.0,9167.26
Radeon RX 6800,486.0,102.0,9163.87
Radeon RX 6800 XT,563.0,144.0,9155.89
Radeon RX 6900 XT,685.0,266.0,9133.97
Radeon RX 6950 XT,914.0,11.0,9131.0
GeForce RTX 3050,279.0,78.0,9127.47
GeForce RTX 3060,339.0,722.0,9087.98
GeForce RTX 3060 T,424.0,1253.0,9067.39
GeForce RTX 3070,463.0,1284.0,9057.57
GeForce RTX 3070 T,547.0,556.0,9030.96
GeForce RTX 3080,665.0,1066.0,9004.23
GeForce RTX 3080 12GB,771.0,128.0,8910.85
GeForce RTX 3080 T,836.0,557.0,8903.95
GeForce RTX 3090,957.0,772.0,8899.66
GeForce RTX 3090 T,1247.0,123.0,8824.66
Radeon RX 6400,137.0,22.0,8814.53
Radeon RX 6500 XT,140.0,56.0,8813.89
Radeon RX 6600,204.0,295.0,8758.9
Radeon RX 6600 XT,238.0,519.0,8722.26
Radeon RX 6650 XT,300.0,19.0,8703.36
Radeon RX 6700 XT,337.0,575.0,8658.94
Radeon RX 6750 XT,430.0,11.0,8628.77
Radeon RX 6800,419.0,149.0,8588.42
Radeon RX 6800 XT,518.0,237.0,8534.17
Radeon RX 6900 XT,645.0,236.0,8173.97
Radeon RX 6950 XT,795.0,9.0,8120.8
GeForce RTX 3050,260.0,78.0,7885.46
GeForce RTX 3060,312.0,834.0,7790.66
GeForce RTX 3060 T,355.0,1611.0,7759.24
GeForce RTX 3070,409.0,1856.0,7699.27
GeForce RTX 3070 T,493.0,629.0,7547.19
GeForce RTX 3080,585.0,1520.0,7523.83
GeForce RTX 3080 12GB,684.0,158.0,7514.41
GeForce RTX 3080 T,754.0,682.0,7507.08
GeForce RTX 3090,834.0,1121.0,7431.0
GeForce RTX 3090 T,1117.0,202.0,7351.57
Radeon RX 6400,138.0,23.0,7337.42
Radeon RX 6500 XT,141.0,52.0,7324.03
Radeon RX 6600,182.0,337.0,7205.55
Radeon RX 6600 XT,221.0,642.0,7202.31
Radeon RX 6650 XT,299.0,17.0,7194.4
Radeon RX 6700 10GB,330.0,0.0,7192.85
Radeon RX 6700 XT,313.0,633.0,7192.72
Radeon RX 6750 XT,430.0,2.0,7189.16
Radeon RX 6800,399.0,198.0,7175.68
Radeon RX 6800 XT,491.0,277.0,7163.63
Radeon RX 6900 XT,623.0,261.0,7067.74
Radeon RX 6950 XT,752.0,23.0,7034.89
GeForce RTX 3050,241.0,103.0,6907.4
GeForce RTX 3060,286.0,1106.0,6891.6
GeForce RTX 3060 T,320.0,1989.0,6879.54
GeForce RTX 3070,376.0,2278.0,6871.95
GeForce RTX 3070 T,459.0,821.0,6857.66
GeForce RTX 3080,562.0,2038.0,6852.52
GeForce RTX 3080 12GB,663.0,163.0,6502.16
GeForce RTX 3080 T,755.0,888.0,6226.44
GeForce RTX 3090,812.0,1789.0,5885.41
GeForce RTX 3090 T,1105.0,269.0,5357.61
GeForce RTX 4090,2333.0,1139.0,5166.26
